email,telefon,tip_cont,tip_colaborator,prenume,nume,denumire_afisata_contact,username_propus,judet,localitate,denumire_organizatie,denumire_legala,cui,cui_cu_ro,reg_com,adresa_firma,reprezentant_legal,judet_firma,localitate_firma,adapost_public_ong,segmente,marketing_email_viitor,nota_interna,stare
office@urbis-serv.ro,0238715151,adapost,adpub,,,ADAPOST SC URBIS SERV SRL – Consiliul Local Buzău,,Buzău,Buzau,ADAPOST SC URBIS SERV SRL – Consiliul Local Buzău,,,,,"Buzau, str. Rachitei 92A",dr. Popa Adrian 0238715151,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/buzau/ | fingerprint=buzau|adapost sc urbis serv srl – consiliul local buzau|buzau, str. rachitei 92a | Capacitate: 387; Program: Luni – Vineri: 10.00 – 18.00",ready
adporas@yahoo.com,0238563032,adapost,adpub,,,ADAPOST CFS – Consiliul Local Râmnicu Sărat,,Buzău,Str. Armoniei,ADAPOST CFS – Consiliul Local Râmnicu Sărat,,,,,"Str. Armoniei, nr. 58 bis, Municipiul Râmnicu Sărat",Nechifor Gheorghe 0238563032,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/buzau/ | fingerprint=buzau|adapost cfs – consiliul local ramnicu sarat|str. armoniei, nr. 58 bis, municipiul ramnicu sarat | Capacitate: 160; Program: Luni – Vineri: 10.00 – 18.00",ready
,0740033872,adapost,adprv,,,ADAPOST ASOCIATIA PENTRU PROTECTIA ANIMALELOR SF. FRANCISC D ASSISI,,Buzău,Buzau,ADAPOST ASOCIATIA PENTRU PROTECTIA ANIMALELOR SF. FRANCISC D ASSISI,,,,,"Buzau, soseaua Sloboziei, punct Serdinanca",dr. Doana Valentin (0740033872),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/buzau/ | fingerprint=buzau|adapost asociatia pentru protectia animalelor sf. francisc d assisi|buzau, soseaua sloboziei, punct serdinanca | Capacitate: 30; Program: Luni – Vineri 10.00 – 18.00",ready
miciipatrupezi_blanosi@yahoo.com,0787239053,adapost,adprv,,,ADAPOST ASOCIATIA MICII PATRUPEZI BLANOSI,,Buzău,Smeeni,ADAPOST ASOCIATIA MICII PATRUPEZI BLANOSI,,,,,Smeeni,Scriba Andrei Nicolae (0787239053),,,,noutati_ong_adapost,,Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/buzau/ | fingerprint=buzau|adapost asociatia micii patrupezi blanosi|smeeni | Capacitate: 170; Program: Luni-Vineri 10.00 – 14.00,ready
intretinere.patrimoniu@primariaresita.ro,0727812172,adapost,adpub,,,ADAPOST SERV. PUBL. – PRIMARIA RESITA,,Caraș-Severin,Reşiţa,ADAPOST SERV. PUBL. – PRIMARIA RESITA,,,,,"Municipiul Reşiţa, str.Lupacului F.N.","Ionascu Oana (0727812172, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost serv. publ. – primaria resita|municipiul resita, str.lupacului f.n. | Capacitate: 236; Program: Luni – Vineri: 09.00 – 15.00",ready
propetasociationa@gmail.com,0764188188,adapost,adprv,,,ADAPOST ASOCIAŢIA PT. PROTECŢIA ANIMALELOR PRO PET,,Caraș-Severin,Mehadia 1131,ADAPOST ASOCIAŢIA PT. PROTECŢIA ANIMALELOR PRO PET,,,,,loc. Mehadia 1131,"Stoica Lascar (0764188188, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost asociatia pt. protectia animalelor pro pet|loc. mehadia 1131 | Capacitate: 700; Program: Luni – Vineri: 08.30 – 17.30, S-D: 08.30 – 14.00",ready
gospodaria_bocsa@yahoo.com,0355412076,adapost,adpub,,,ADAPOST SERV. PUBL. – PRIMARIA BOCSA,,Caraș-Severin,Str. Ezerisului,ADAPOST SERV. PUBL. – PRIMARIA BOCSA,,,,,"Str. Ezerisului, FN",Ciorogariu Mario 0355412076,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost serv. publ. – primaria bocsa|str. ezerisului, fn | Capacitate: 60; Program: Luni – Vineri: 11.00 – 18.00",ready
bgcoravita@yahoo.com,0776111809,adapost,adpub,,,ADAPOST ORAVITA –  NEAUTORIZAT,,Caraș-Severin,Oraş Oraviţa,ADAPOST ORAVITA –  NEAUTORIZAT,,,,,"Oraş Oraviţa, varianta ocolitoare, FN","Trihenea Gheorghe Adrian (07761118090, 0772062413 )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost oravita – neautorizat|oras oravita, varianta ocolitoare, fn | Capacitate: 180; Program: Luni – Vineri: 10.00 – 14.00",ready
contact@primariamoldovanoua.ro,0766531600,adapost,adpub,,,ADAPOST PRIMARIA MOLDOVA NOUA,,Caraș-Severin,Moldova Noua,ADAPOST PRIMARIA MOLDOVA NOUA,,,,,"Moldova Noua, Zona Varand-CF-30624",Scânteie Constantin (0522540997/0766531600),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost primaria moldova noua|moldova noua, zona varand-cf-30624 | Capacitate: 85; Program: Luni – Vineri: 10.00 – 12.00",ready
asociatiahkr@gmail.com,0747612112,adapost,adprv,,,ADAPOST ASOCIATIA SHKR PENTRU PROTECTIA ANIMALELOR,,Caraș-Severin,Otelu Rosu CF 35003,ADAPOST ASOCIATIA SHKR PENTRU PROTECTIA ANIMALELOR,,,,,Otelu Rosu CF 35003,Kaupp Tanja Emanuela (0747612112),,,,noutati_ong_adapost,,Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost asociatia shkr pentru protectia animalelor|otelu rosu cf 35003 | Capacitate: 200; Program: Luni – Dum: 11.00 – 14.00,ready
standpunkt.ro@yahoo.com,0731659930,adapost,adprv,,,ADAPOST ASOCIATIA STANDPUNKT,,Caraș-Severin,DN 57B,ADAPOST ASOCIATIA STANDPUNKT,,,,,"DN 57B, Plopa/Crivina FN",Mulcuța Teodora (0731659930),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost asociatia standpunkt|dn 57b, plopa/crivina fn | Capacitate: 70; Program: Luni – Dum: 10:00 – 14.00",ready
adapostcaransebes@yahoo.com,0726593909,adapost,adpub,,,ADAPOST CFS PRIMARIA CARANSEBES,,Caraș-Severin,Str Valea Mare 108 C,ADAPOST CFS PRIMARIA CARANSEBES,,,,,"Str Valea Mare 108 C, Valea Cenchii",Păsărescu Mircea (0726593909),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/caras-severin/ | fingerprint=caras-severin|adapost cfs primaria caransebes|str valea mare 108 c, valea cenchii | Capacitate: 30; Program: Luni – Vineri: 08.00 – 16.00",ready
dmspmc@primariacalarasi.ro,0242313300,adapost,adpub,,,ADAPOST SERV. PUBL. CFS – CALARASI,,Călărași,Strada Varianta Nord nr. 36 E,ADAPOST SERV. PUBL. CFS – CALARASI,,,,,"Strada Varianta Nord nr. 36 E, Municipiul Călăraşi",Neagu Marin – 0242313300,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/calarasi/ | fingerprint=calarasi|adapost serv. publ. cfs – calarasi|strada varianta nord nr. 36 e, municipiul calarasi | Capacitate: 300; Program: Luni – Joi: 08.30 – 15.00, Vineri: 08.30 – 12.30",ready
contact@primariaoltenita.ro,0242515770,adapost,adpub,,,ADAPOST SERV. PUBL. CFS – OLTENITA,,Călărași,Utr 81,ADAPOST SERV. PUBL. CFS – OLTENITA,,,,,"Utr 81, tarla 124 Oltenita","Dobre Nicoleta (0242515770, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/calarasi/ | fingerprint=calarasi|adapost serv. publ. cfs – oltenita|utr 81, tarla 124 oltenita | Capacitate: 120; Program: Luni – Vineri: 08.00 – 12.00",ready
cgcfs@centru-caini.radpcj.ro,0264415788,adapost,adpub,,,ADAPOST CGCFS CLUJ – NAPOCA,,Cluj,Cluj Napoca,ADAPOST CGCFS CLUJ – NAPOCA,,,,,"Municipiul Cluj Napoca, str. Bobalnei, nr. 65","dr. Mioara Macrinici, 0264415788",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/cluj/ | fingerprint=cluj|adapost cgcfs cluj – napoca|municipiul cluj napoca, str. bobalnei, nr. 65 | Capacitate: 312; Program: Luni – Vineri: 07.00 – 15.00, Miercuri: 07.00 – 17.00, S-D: 09.00-11.00",ready
,0757110332,adapost,adpub,,,SC ADP GHERLA SA  – in proces de reautorizare,,Cluj,Gherla,SC ADP GHERLA SA  – in proces de reautorizare,,,,,"Municipiul Gherla, str. Gelu, FN",dr. Roxana Dobocan 0757110332,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/cluj/ | fingerprint=cluj|sc adp gherla sa – in proces de reautorizare|municipiul gherla, str. gelu, fn | Capacitate: 200; Program: Luni – Vineri: 07.00 – 15.00",ready
,0726106003,adapost,adpub,,,ADAPOST PRIMARIA DEJ – suspendat,,Cluj,Dej,ADAPOST PRIMARIA DEJ – suspendat,,,,,"Municipiul Dej, strada Salciilor, FN",Stanca Gherman (0726106003),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/cluj/ | fingerprint=cluj|adapost primaria dej – suspendat|municipiul dej, strada salciilor, fn | Capacitate: 180; Program: Luni – Dum: 08.00 – 16.00",ready
,0724081204,adapost,adprv,,,SC NOVAVET SRL TURDA – ACTIVITATE SUSPENDATA,,Cluj,Turda,SC NOVAVET SRL TURDA – ACTIVITATE SUSPENDATA,,,,,"Municipiul Turda, strada Bogata, nr. 12",dr. Dunca Mircea 0724081204,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/cluj/ | fingerprint=cluj|sc novavet srl turda – activitate suspendata|municipiul turda, strada bogata, nr. 12 | Capacitate: 60",ready
,0754934053,adapost,adprv,,,ADAPOST AOCIATIA PENTRU PROTECTIA ANIMALELOR CEZAR,,Cluj,Huedin,ADAPOST AOCIATIA PENTRU PROTECTIA ANIMALELOR CEZAR,,,,,"Loc. Huedin, str. Izvorului, FN",Cristea Laura (0754934053),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/cluj/ | fingerprint=cluj|adapost aociatia pentru protectia animalelor cezar|loc. huedin, str. izvorului, fn | Capacitate: 220; Program: Luni – Dum: 10.00 – 14.00",ready
,0741637297,adapost,,,,ADAPOST ACT4PETS LOGISTICS SRL,,Cluj,Târgusor,ADAPOST ACT4PETS LOGISTICS SRL,,,,,"sat Târgusor, com Sînmartin, nr.71, jud. Cluj","Zoicaș David, 0741637297",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/cluj/ | fingerprint=cluj|adapost act4pets logistics srl|sat targusor, com sinmartin, nr.71, jud. cluj | Capacitate: 140",ready
savethedogs@cernavoda.ro,0721612987,adapost,adprv,,,urmedebucurie.ro,,Constanța,Oraş Cernavodă,urmedebucurie.ro,,,,,"Oraş Cernavodă, extravilan, V6/11, lot 1, DJ 223, km 2",Manea Andreea 0721612987,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|urmedebucurie.ro|oras cernavoda, extravilan, v6/11, lot 1, dj 223, km 2 | Capacitate: 500 caini, 50 pisici; Program: Luni – Vineri: 09.00 – 17.00",ready
,0786291707,adapost,adprv,,,Facebook – Ionela Carneluta,,Constanța,Ovidiu,Facebook – Ionela Carneluta,,,,,"Ovidiu, str. Lanului 6A",Carneluta Ionela (0786291707),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|facebook – ionela carneluta|ovidiu, str. lanului 6a | Capacitate: 50; Program: Luni – Vineri: 14.00 – 16.00",ready
,0770277520,adapost,adprv,,,Facebook – RespectPet,,Constanța,Oraş Ovidiu,Facebook – RespectPet,,,,,"Oraş Ovidiu, Str. Portului, nr. 36D bis",Ionela Cirnu (0770277520),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|facebook – respectpet|oras ovidiu, str. portului, nr. 36d bis | Capacitate: 120; Program: Luni – Vineri: 14.00 – 16.00",ready
primariaharsova@yahoo.com,0786806310,adapost,adpub,,,https://primaria-harsova.ro/,,Constanța,Oraş Hârşova,https://primaria-harsova.ro/,,,,,"Oraş Hârşova, Str. Decebal, Nr. 1","Tepes Catalin (0786806310, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|https://primaria-harsova.ro/|oras harsova, str. decebal, nr. 1 | Capacitate: 40; Program: Luni – Vineri: 08.00 – 16.00",ready
medlovet8@gmail.com,0754851304,adapost,adpub,,,https://www.facebook.com/adoptiicainimangalia/,,Constanța,Mangalia,https://www.facebook.com/adoptiicainimangalia/,,,,,"loc. Mangalia, str. Serban Cioculescu, nr. 1","Buturuga Loredana (0754851304, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|https://www.facebook.com/adoptiicainimangalia/|loc. mangalia, str. serban cioculescu, nr. 1 | Capacitate: 70; Program: Luni – Vineri: 10.00 – 12.00",ready
andramanolache2005@yahoo.com,0728651600,adapost,adprv,,,www.doggylandfamily.ro,,Constanța,str. Pescarilor 36 – loc. Topraiser,www.doggylandfamily.ro,,,,,str. Pescarilor 36 – loc. Topraiser,"Manolache Alexandra (0728651600, )",,,,noutati_ong_adapost,,Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|www.doggylandfamily.ro|str. pescarilor 36 – loc. topraiser | Capacitate: 40; Program: Luni – Vineri: 10.00 – 16.00,ready
ana.eftinca@primaria-constanta.ro,0733568993,adapost,adpub,,,Facebook – adapostul public de animale abandonate,,Constanța,Constanta,Facebook – adapostul public de animale abandonate,,,,,"Constanta, str. Campul cu Flori, nr. 11","Eftinca Anamaria (0733568993, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/constanta/ | fingerprint=constanta|facebook – adapostul public de animale abandonate|constanta, str. campul cu flori, nr. 11 | Capacitate: 521; Program: Luni, Marti, Miercuri, Vineri 10.00-14.00 / Joi 09.30-17.30",ready
primarie@primariabaraolt.ro,0727327536,adapost,adpub,,,ADAPOST CONSILIUL LOCAL – BARAOLT,,Covasna,Oraş Baraolt,ADAPOST CONSILIUL LOCAL – BARAOLT,,,,,"Oraş Baraolt, strada Kossuth Lajos nr. 255",Beke Arpad 0727327536,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/covasna/ | fingerprint=covasna|adapost consiliul local – baraolt|oras baraolt, strada kossuth lajos nr. 255 | Capacitate: 15; Program: Luni – Vineri: 07.30 – 15.30",ready
menhely_adapost@tega.ro,0769065095/0732717185,adapost,adpub,,,ADAPOST SGCFS SFANTU GHEORGHE,,Covasna,Câmpul Frumos,ADAPOST SGCFS SFANTU GHEORGHE,,,,,"Câmpul Frumos, FN, corp D","Balázsi-Bardocz Csaba, Simon Agnes Juluia (0769065095/0732717185, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/covasna/ | fingerprint=covasna|adapost sgcfs sfantu gheorghe|campul frumos, fn, corp d | Capacitate: 145; Program: Luni – Vineri: 09.00 – 16.00, S -D: 10.00 – 16.00",ready
allatvedelem.kezdi@gmail.com,0728266502,adapost,adprv,,,ADAPOST ASOCIATIA BENJI – TG. SECUIESC,,Covasna,Târgu Secuiesc,ADAPOST ASOCIATIA BENJI – TG. SECUIESC,,,,,"Municipiul Târgu Secuiesc, strada Gării FN",Forro Bela 0728266502,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/covasna/ | fingerprint=covasna|adapost asociatia benji – tg. secuiesc|municipiul targu secuiesc, strada garii fn | Capacitate: 110; Program: Luni – Vineri: 10.00 – 18.00 / S-D 10.00-14.00",ready
,0267340001,adapost,adpub,,,ADAPOST PRIMARIA ORASULUI COVASNA,,Covasna,Covasna,ADAPOST PRIMARIA ORASULUI COVASNA,,,,,"Covasna, str. Mikszath Kalman, nr. 14",Ghioane Mihai (0267340001),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/covasna/ | fingerprint=covasna|adapost primaria orasului covasna|covasna, str. mikszath kalman, nr. 14 | Capacitate: 7 cap.; Program: Luni – Vineri: 10.00 – 18.00",ready
directiadesalubritate@yahoo.com,0245611222,adapost,adpub,,,ADAPOST PRIMARIA MUN. TARGOVISTE,,Dâmbovița,Aninoasa,ADAPOST PRIMARIA MUN. TARGOVISTE,,,,,Comuna Aninoasa,dr. Popescu Ioana 0245611222,,,1,noutati_ong_adapost,,Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dambovita/ | fingerprint=dambovita|adapost primaria mun. targoviste|comuna aninoasa | Capacitate: 138; Program: Luni – Vineri: 10.00 – 14.00,ready
corina.codrut@ps2.ro,,adapost,adpub,,,ADAPOST PRIMARIA SECTOR 2 BUCURESTI,,Dâmbovița,Butimanu,ADAPOST PRIMARIA SECTOR 2 BUCURESTI,,,,,"Comuna Butimanu, Tarla 68, Parcela 501",Codrut Andreea Corina 026980840,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dambovita/ | fingerprint=dambovita|adapost primaria sector 2 bucuresti|comuna butimanu, tarla 68, parcela 501 | Capacitate: 280; Program: Luni – Duminica: 10.00 – 16.00",ready
sanda_andrei@yahoo.com,0723567131,adapost,adprv,,,FUNDATIA P.P.A COLT ALB,,Dâmbovița,Butimanu,FUNDATIA P.P.A COLT ALB,,,,,"Comuna Butimanu, Tarla 68, Parcela 501",Sanda Andrei 0723567131,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dambovita/ | fingerprint=dambovita|fundatia p.p.a colt alb|comuna butimanu, tarla 68, parcela 501 | Capacitate: 100; Program: Luni – Vineri: 10.00 – 14.00",ready
office.sfd@gmail.com,0729806983,adapost,adprv,,,FUNDATIA P.P.A SEMPER FIDELIS DOMUS,,Dâmbovița,Butimanu,FUNDATIA P.P.A SEMPER FIDELIS DOMUS,,,,,"Comuna Butimanu, Tarlaua 78, P 501",Bogza Steliana 0729806983,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dambovita/ | fingerprint=dambovita|fundatia p.p.a semper fidelis domus|comuna butimanu, tarlaua 78, p 501 | Capacitate: 250; Program: L – V: 10.30 – 16.00",ready
psmoreni@yahoo.com,0726498207,adapost,adpub,,,Activitate incheiata la cerere,,Dâmbovița,Mun. Moreni,Activitate incheiata la cerere,,,,,"Mun. Moreni, str. Industriilor",Necsoiu Gabriel (0726498207; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dambovita/ | fingerprint=dambovita|activitate incheiata la cerere|mun. moreni, str. industriilor | Capacitate: 50; Program: Luni – Joi: 15.00 – 16.00, Vineri: 13:00 – 14:00",ready
office@salubritate-craiova.ro,0766371064,adapost,adpub,,,ADAPOST S.C. Salubritate Craiova S.r.l,,Dolj,Craiova,ADAPOST S.C. Salubritate Craiova S.r.l,,,,,"Craiova, Tarlaua 44, NP 311",Truta Marius (0766371064; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dolj/ | fingerprint=dolj|adapost s.c. salubritate craiova s.r.l|craiova, tarlaua 44, np 311 | Capacitate: 512; Program: Luni – Vineri: 10.00 – 18.00 / S-D 11.00-13.00",ready
ionbistriceanu1973@gmail.com,0763616295,adapost,adpub,,,ADAPOST PRIMARIA CALAFAT – ADAPOST INCHIS,,Dolj,Mun. Calafat,ADAPOST PRIMARIA CALAFAT – ADAPOST INCHIS,,,,,"Mun. Calafat, str. Nicolae Balcescu, nr. 2",Bistriceanu Ion (0763616295; ),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/dolj/ | fingerprint=dolj|adapost primaria calafat – adapost inchis|mun. calafat, str. nicolae balcescu, nr. 2 | Capacitate: 40; Program: Luni – Vineri: 13.00 – 14.00",ready
ecarisaj@ecosalgl.ro,0336100154/0734113122,adapost,adpub,,,www.ecosalgl.ro,,Galați,Galaţi,www.ecosalgl.ro,,,,,"Municipiul Galaţi, strada Zimbrului, nr. 1","Boldisor Constantin, Birlea Daniel – 0336100154/0734113122",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/galati/ | fingerprint=galati|www.ecosalgl.ro|municipiul galati, strada zimbrului, nr. 1 | Capacitate: 1250; Program: Luni – Vineri: 10.00 – 18.00 / S-D 10.00-12.00",ready
help_labus@yahoo.com,0751024562/0742432156,adapost,adprv,,,www.help-labus.ro,,Galați,Galati,www.help-labus.ro,,,,,"Galati, str. Sanzienelor, nr. 82","Corina Grigore, Ana Tataru (0751024562/0742432156",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/galati/ | fingerprint=galati|www.help-labus.ro|galati, str. sanzienelor, nr. 82 | Capacitate: 1100; Program: Luni – Vineri: 10.00 – 13.00",ready
roldaro@gmail.com,0748903612,adapost,adprv,,,www.rolda.org,,Galați,Galaţi,www.rolda.org,,,,,"Municipiul Galaţi, extravilan, Tarlaua 594/P4",Costin Elena Daniela 0748903612,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/galati/ | fingerprint=galati|www.rolda.org|municipiul galati, extravilan, tarlaua 594/p4 | Capacitate: 600; Program: Luni – Vineri: 13.00 – 14.00",ready
info@savasafehaven.com,0766749680,adapost,adprv,,,"www.savasafehaven.com, Facebook – asociatia savas safe heaven",,Galați,Brăniştea,"www.savasafehaven.com, Facebook – asociatia savas safe heaven",,,,,"Comuna Brăniştea, Tarla 22, Parcela 33","Sava Alexandrina (0766749680, 0766370412, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/galati/ | fingerprint=galati|www.savasafehaven.com, facebook – asociatia savas safe heaven|comuna branistea, tarla 22, parcela 33 | Capacitate: 250; Program: Zilnic, pe baza de programare telefonica",ready
sendreniifo@yahoo.com,0743235440,adapost,adpub,,,Facebook,,Galați,Sendreni,Facebook,,,,,"Com. Sendreni, Sat Sendreni, str. Parau Obreja nr 29","Avadanii Gabriela Roxana (0743235440, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/galati/ | fingerprint=galati|facebook|com. sendreni, sat sendreni, str. parau obreja nr 29 | Capacitate: 170; Program: Luni – Dum: 10.00 – 13.00",ready
lecavasilebogdan@gmail.com,0747915353,adapost,adprv,,,https://www.facebook.com/CHRPetTransport/,,Galați,Dobrinesti,https://www.facebook.com/CHRPetTransport/,,,,,"Sat Dobrinesti, Com. Nicoresti, str. Primar Emil Constantinescu nr 93","Leca Bogdan (0747915353, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/galati/ | fingerprint=galati|https://www.facebook.com/chrpettransport/|sat dobrinesti, com. nicoresti, str. primar emil constantinescu nr 93 | Capacitate: 320; Program: L – V: 09:00 – 17:00",ready
contact@gslgiurgiu.ro,0246216002,adapost,adpub,,,gslgiurgiu.ro,,Giurgiu,Giurgiu,gslgiurgiu.ro,,,,,"Municipiul Giurgiu, strada Voestalpine P1/P2","Vilcan Elena (, 0246216002)",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/giurgiu/ | fingerprint=giurgiu|gslgiurgiu.ro|municipiul giurgiu, strada voestalpine p1/p2 | Capacitate: 721; Program: Luni – Vineri: 08.00 – 16.00",ready
mihailesti@aspa.ro,0246278787,adapost,adpub,,,www.aspa.ro / https://www.facebook.com/…/Aspa-Mihailesti/,,Giurgiu,Oraş Mihăileşti,www.aspa.ro / https://www.facebook.com/…/Aspa-Mihailesti/,,,,,"Oraş Mihăileşti, strada Complexului nr. 86","Alina Nicoleta Vaitus (0246278787, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/giurgiu/ | fingerprint=giurgiu|www.aspa.ro / https://www.facebook.com/.../aspa-mihailesti/|oras mihailesti, strada complexului nr. 86 | Capacitate: 1374; Program: zilnic 10:00 – 16:00",ready
felinavet@yahoo.com,0722376888,adapost,adprv,,,https://www.facebook.com/aspaivets/,,Giurgiu,Sos. Bucuresti – Giurgiu,https://www.facebook.com/aspaivets/,,,,,"Sos. Bucuresti – Giurgiu, nr. 50-100, com. Calugareni, sat Uzunu","Florea Corina (0722376888, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/giurgiu/ | fingerprint=giurgiu|https://www.facebook.com/aspaivets/|sos. bucuresti – giurgiu, nr. 50-100, com. calugareni, sat uzunu | Capacitate: 1860; Program: L-V: 12-16",ready
handsandpaws18@gmail.com,0767987495,adapost,adprv,,,https://www.facebook.com/share/1DhzMMmYZ2/?mibextid=wwXIfr,,Giurgiu,Săbăreni,https://www.facebook.com/share/1DhzMMmYZ2/?mibextid=wwXIfr,,,,,"Săbăreni, județul Giurgiu (Sola 92, Parcela 655/50 NC 36-371)","Radu Maria Cătălina ( , 0767987495)",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/giurgiu/ | fingerprint=giurgiu|https://www.facebook.com/share/1dhzmmmyz2/?mibextid=wwxifr|sabareni, judetul giurgiu (sola 92, parcela 655/50 nc 36-371) | Capacitate: 300; Program: luni-vineri: 14:30- 18:30",ready
,0783384721,adapost,adprv,,,a sjhunedoara.ro,,Gorj,Târgu Jiu,a sjhunedoara.ro,,,,,"Municipiul Târgu Jiu, strada Termocentralei, nr. 27A",Duma Adrian 0783384721,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/gorj/ | fingerprint=gorj|a sjhunedoara.ro|municipiul targu jiu, strada termocentralei, nr. 27a | Capacitate: 400; Program: Luni – Vineri: 11.00 – 15.00 / S-D 10.00 – 11.00",ready
